"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"G234084","Non-Essential","Protein Kinases","cAMP-dependent protein kinase","Auxotrophies, carbon and","PS00108","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234084","Non-Essential","Protein Kinases","cAMP-dependent protein kinase","Conditional phenotypes","PS00108","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234084","Non-Essential","Protein Kinases","cAMP-dependent protein kinase","Conditional phenotypes","PS00108","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234085","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00685","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234085","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00685","2","TRANSCRIPTION","nucleus."
"G234089","Non-Essential","Major facilitator superfamily proteins (MFS)","Glucan synthases","Nucleic acid metabolism defects","PS00216","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane."
"G234089","Non-Essential","Major facilitator superfamily proteins (MFS)","Glucan synthases","Nucleic acid metabolism defects","PS00225","2","METABOLISM","plasma membrane."
"G234093","Non-Essential","Motorproteins","Cytoskeleton","Cell cycle defects","PS00017","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234093","Non-Essential","Motorproteins","Cytoskeleton","Cell cycle defects","PS00017","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234093","Non-Essential","Motorproteins","Cytoskeleton","Cell cycle defects","PS00017","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","nucleus."
"G234096","Non-Essential","Molecular chaperones","Translation complexes","Cell cycle defects","PS00297","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234096","Non-Essential","Molecular chaperones","Histone acetyltransferase complexes","Stress response defects","PS00297","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234100","Essential","Transcription factors","Transcription complexes/Transcriptosome","Stress response defects","PS00626","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","nucleus."
"G234100","Essential","Transcription factors","Transcription complexes/Transcriptosome","Stress response defects","PS00626","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234100","Essential","Transcription factors","Transcription complexes/Transcriptosome","Stress response defects","PS00626","2","TRANSCRIPTION","nucleus."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","mitochondria."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","mitochondria."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017","2","ENERGY","mitochondria."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017","2","IONIC HOMEOSTASIS","mitochondria."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017","2","TRANSPORT FACILITATION","mitochondria."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","mitochondria."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","mitochondria."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152","2","ENERGY","mitochondria."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152","2","IONIC HOMEOSTASIS","mitochondria."
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152","2","TRANSPORT FACILITATION","mitochondria."
"G234102","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00038","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234102","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00038","2","METABOLISM","nucleus."
"G234102","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00038","2","TRANSCRIPTION","nucleus."
"G234103","Essential","Protein Kinases","Translation complexes","Cell cycle defects","PS00107","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Cell cycle defects","PS00107","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Cell cycle defects","PS00107","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Cell cycle defects","PS00107","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Cell cycle defects","PS00479","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Cell cycle defects","PS00479","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Cell cycle defects","PS00479","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Cell cycle defects","PS00479","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Cell morphology and organelle mutants","PS00107","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Cell morphology and organelle mutants","PS00107","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Cell morphology and organelle mutants","PS00107","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Cell morphology and organelle mutants","PS00107","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Cell morphology and organelle mutants","PS00479","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Cell morphology and organelle mutants","PS00479","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Cell morphology and organelle mutants","PS00479","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234103","Essential","Protein Kinases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00479","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Nucleic acid metabolism defects","PS00107","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234103","Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Nucleic acid metabolism defects","PS00107","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234103","Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Nucleic acid metabolism defects","PS00107","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234103","Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Nucleic acid metabolism defects","PS00107","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Nucleic acid metabolism defects","PS00479","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Nucleic acid metabolism defects","PS00479","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Nucleic acid metabolism defects","PS00479","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Nucleic acid metabolism defects","PS00479","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS00107","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Sensitivity to aminoacid analogs and other drugs","PS00107","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234103","Essential","Protein Kinases","cAMP-dependent protein kinase","Sensitivity to aminoacid analogs and other drugs","PS00107","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Sensitivity to aminoacid analogs and other drugs","PS00107","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS00479","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Sensitivity to aminoacid analogs and other drugs","PS00479","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234103","Essential","Protein Kinases","Translation complexes","Sensitivity to aminoacid analogs and other drugs","PS00479","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234103","Essential","Protein Kinases","Alpha, alpha-trehalose-phosphate synthase","Sensitivity to aminoacid analogs and other drugs","PS00479","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00322","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00322","2","TRANSCRIPTION","nucleus."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00322","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Cell cycle defects","PS00322","2","TRANSCRIPTION","nucleus."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00322","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00322","2","TRANSCRIPTION","nucleus."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00322","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Conditional phenotypes","PS00322","2","TRANSCRIPTION","nucleus."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00322","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234106","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00959","2","TRANSCRIPTION","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00322","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00322","2","TRANSCRIPTION","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00959","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00959","2","TRANSCRIPTION","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00322","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00322","2","TRANSCRIPTION","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00959","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00959","2","TRANSCRIPTION","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00322","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00322","2","TRANSCRIPTION","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00959","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00959","2","TRANSCRIPTION","nucleus."
"G234108","Non-Essential","Other kinases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00627","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234108","Non-Essential","Other kinases","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00627","2","METABOLISM","cytoplasm."
"G234108","Non-Essential","Other kinases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00627","2","TRANSCRIPTION","cytoplasm."
"G234109","Non-Essential","Major facilitator superfamily proteins (MFS)","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00322","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","plasma membrane."
"G234109","Non-Essential","Major facilitator superfamily proteins (MFS)","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00322","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","plasma membrane."
"G234109","Non-Essential","Major facilitator superfamily proteins (MFS)","Glucan synthases","Nucleic acid metabolism defects","PS00225","2","METABOLISM","plasma membrane."
"G234109","Non-Essential","Major facilitator superfamily proteins (MFS)","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00322","2","TRANSPORT FACILITATION","plasma membrane."
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00225","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00225","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00674","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00674","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Conditional phenotypes","PS00056","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Conditional phenotypes","PS00056","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Conditional phenotypes","PS00056","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Conditional phenotypes","PS00056","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Conditional phenotypes","PS00056","2","PROTEIN DESTINATION","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Sensitivity to aminoacid analogs and other drugs","PS01175","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Sensitivity to aminoacid analogs and other drugs","PS01175","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Sensitivity to aminoacid analogs and other drugs","PS01175","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Sensitivity to aminoacid analogs and other drugs","PS00097","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Sensitivity to aminoacid analogs and other drugs","PS00973","2","PROTEIN DESTINATION","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Stress response defects","PS01175","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Stress response defects","PS01175","2","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Stress response defects","PS00888","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Stress response defects","PS01175","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234123","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Stress response defects","PS01175","2","PROTEIN DESTINATION","cytoplasm."
"G234124","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00554","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234124","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00554","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234124","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00554","2","TRANSCRIPTION","nucleus."
"G234124","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00554","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","nucleus."
"G234124","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00554","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234124","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00554","2","TRANSCRIPTION","nucleus."
"G234126","Non-Essential","GTP-binding proteins","Translation complexes","Nucleic acid metabolism defects","PS00017","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234126","Non-Essential","GTP-binding proteins","Translation complexes","Conditional phenotypes","PS00017","2","PROTEIN SYNTHESIS","cytoplasm."
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Auxotrophies, carbon and","PS00152","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","vacuole."
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Auxotrophies, carbon and","PS00152","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","vacuole."
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Auxotrophies, carbon and","PS00152","2","IONIC HOMEOSTASIS","vacuole."
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Auxotrophies, carbon and","PS00152","2","TRANSPORT FACILITATION","vacuole."
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Conditional phenotypes","PS00152","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","vacuole."
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Conditional phenotypes","PS00152","2","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","vacuole."
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Conditional phenotypes","PS00152","2","IONIC HOMEOSTASIS","vacuole."
