"V1","V2","V3","V4","V5","V6","V7","V9"
"G235387","Ambiguous-Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00402","7","?."
"G235612","Non-Essential","Protein phosphatases","Histone acetyltransferase complexes","Mating and sporulation defects","PS00299","12","?."
"G234412","Non-Essential","Transcription factors","Intracellular transport complexes","Sensitivity to aminoacid analogs and other drugs","PS00028","7","?."
"G235605","Essential","ATPases","Cytoskeleton","Cell morphology and organelle mutants","PS00325","12","?."
"G234790","Non-Essential","Ubiquitin-system proteins","Proteases, mitochondrial","Stress response defects","PS00183","13","?."
"G235001","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Conditional phenotypes","PS00108","16","?."
"G239974","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00480","3","?."
"G235109","Essential","Polymerases","RNA processing complexes","Conditional phenotypes","PS00017","2","?."
"G234711","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00343","12","?."
"G234612","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00038","10","?."
"G235778","Non-Essential","Cyclins","Cytoskeleton","Mating and sporulation defects","PS00227","14","?."
"G234490","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00028","8","?."
"G234704","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00299","12","?."
"G235339","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","13","?."
"G235305","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00036","5","?."
"G234739","Essential","ATPases","Translation complexes","Cell morphology and organelle mutants","PS00211","12","?."
"G235635","Essential","ATPases","RNA processing complexes","Conditional phenotypes","PS00017","12","?."
"G235098","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00038","1","?."
"G234414","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00687","7","?."
"G234339","Non-Essential","Proteases","Proteases, mitochondrial","Auxotrophies, carbon and","PS00017","5","?."
"G234247","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell morphology and organelle mutants","PS00865","4","?."
"G235908","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00633","16","?."
"G234515","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00028","8","?."
"G234739","Essential","ATPases","Translation complexes","Cell morphology and organelle mutants","PS00017","12","?."
"G235223","Non-Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00599","15","?."
"G234573","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00014","10","?."
"G234112","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00153","2","?."
"G235562","Essential","Other kinases","Anaphase promoting complex (APC)","Cell cycle defects","PS00018","11","?."
"G234147","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","2","?."
"G234267","Essential","GTP-binding proteins","Translation complexes","Auxotrophies, carbon and","PS00017","4","?."
"G235354","Essential","ATPases","Proteasome","Cell cycle defects","PS00854","6","?."
"G239273","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell morphology and organelle mutants","PS00865","4","?."
"G236838","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS01188","12","?."
"G235337","Essential","ATPases","RNA processing complexes","Conditional phenotypes","PS00017","5","?."
"G237196","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Stress response defects","PS00720","16","?."
"G235507","Essential","Actins","Cytoskeleton","Cell cycle defects","PS00018","9","?."
"G236066","Essential","Other kinases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00951","2","?."
"G235901","Non-Essential","Cyclins","Cytoskeleton","Cell cycle defects","PS00017","14","?."
"G235121","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00017","2","?."
"G235770","Non-Essential","Cyclins","Gim complexes","Mating and sporulation defects","PS00108","14","?."
"G235354","Essential","ATPases","Proteasome","Sensitivity to aminoacid analogs and other drugs","PS00854","6","?."
"G234798","Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","13","?."
"G237100","Non-Essential","GTP-binding proteins","Translocon","Conditional phenotypes","PS00599","11","?."
"G235354","Essential","ATPases","Proteasome","Stress response defects","PS00854","6","?."
"G236279","Non-Essential","Ubiquitin-system proteins","Translation complexes","Stress response defects","PS00188","7","?."
"G235605","Essential","Actins","Cytoskeleton","Conditional phenotypes","PS00325","12","?."
"G234940","Non-Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00387","15","?."
"G235794","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","14","?."
"G234785","Non-Essential","Tubulins","Cytoskeleton","Mating and sporulation defects","PS00227","14","?."
"G237747","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00867","7","?."
"G237429","Non-Essential","Transcription factors","Intracellular transport complexes","Cell morphology and organelle mutants","PS00914","13","?."
"G235440","Essential","GTP/GDP-exchange factors (GEFs)","Proteasome","Cell morphology and organelle mutants","PS00388","7","?."
"G234704","Non-Essential","Ubiquitin-system proteins","Intracellular transport complexes","Conditional phenotypes","PS00299","12","?."
"G238063","Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","15","?."
"G239825","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00187","12","?."
"G234394","Essential","Actins","Cytoskeleton","Conditional phenotypes","PS00406","6","?."
"G235612","Non-Essential","Protein phosphatases","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00299","12","?."
"G235770","Non-Essential","Cyclins","Gim complexes","Mating and sporulation defects","PS00107","14","?."
"G235878","Non-Essential","ATPases","Intracellular transport complexes","Stress response defects","PS00017","16","?."
"G235878","Non-Essential","ATPases","Intracellular transport complexes","Conditional phenotypes","PS00017","16","?."
"G235638","Non-Essential","Adaptins","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","12","?."
"G234273","Essential","Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants","PS00402","4","?."
"G234267","Essential","GTP-binding proteins","Translation complexes","Auxotrophies, carbon and","PS00301","4","?."
"G234573","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00329","10","?."
"G235440","Essential","GTP/GDP-exchange factors (GEFs)","Proteasome","Mating and sporulation defects","PS00388","7","?."
"G238723","Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00687","7","?."
"G234521","Non-Essential","Actin related proteins","Cytoskeleton","Cell morphology and organelle mutants","PS01132","8","?."
"G234120","Non-Essential","Major facilitator superfamily proteins (MFS)","Translation complexes","Conditional phenotypes","PS00218","2","?."
"G234940","Non-Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00434","15","?."
"G235215","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell cycle defects","PS00017","4","?."
"G238809","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell cycle defects","PS00028","8","?."
"G234333","Non-Essential","Proteases","Proteases, mitochondrial","Auxotrophies, carbon and","PS00137","5","?."
"G234120","Non-Essential","Major facilitator superfamily proteins (MFS)","Proteasome","Conditional phenotypes","PS00218","2","?."
"G234249","Non-Essential","Proteases","Proteasome","Cell cycle defects","PS00973","4","?."
"G239825","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00187","12","?."
"G236523","Non-Essential","Ubiquitin-system proteins","Proteasome","Cell cycle defects","PS00633","12","?."
"G236523","Non-Essential","Protein Kinases","Translocon","Cell morphology and organelle mutants","PS00633","12","?."
"G235440","Essential","GTP/GDP-exchange factors (GEFs)","Proteasome","Cell morphology and organelle mutants","PS00388","7","?."
"G235878","Non-Essential","ATPases","Intracellular transport complexes","Stress response defects","PS00017","16","?."
"G239856","Essential","Other kinases","Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants","PS00952","13","?."
"G234958","Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","15","?."
"G235325","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","5","?."
"G234940","Non-Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00387","15","?."
"G238132","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00028","16","?."
"G234485","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Mating and sporulation defects","PS00108","8","?."
"G234283","Non-Essential","ATPases","Translation complexes","Auxotrophies, carbon and","PS00154","4","?."
"G234653","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","2","?."
"G239913","Ambiguous-Non-Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","15","?."
"G234385","Non-Essential","Molecular chaperones","Respiration chain complexes","Auxotrophies, carbon and","PS00637","6","?."
"G234419","Essential","Transcription factors","Replication complexes","Conditional phenotypes","PS00017","7","?."
"G236813","Non-Essential","GTPase activating proteins (GAPs)","RNA processing complexes","Cell cycle defects","PS00108","16","?."
"G240057","Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00343","16","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00674","16","?."
"G236021","Non-Essential","Molecular chaperones","Chaperonine containing T-complex TRiC (TCP RING Complex)","Conditional phenotypes","PS00215","4","?."
"G238723","Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00434","7","?."
"G239588","Non-Essential","Transcription factors","Cytoskeleton","Auxotrophies, carbon and","PS00038","10","?."
"G234423","Essential","GTP/GDP-exchange factors (GEFs)","Proteasome","Cell morphology and organelle mutants","PS00625","7","?."
"G235533","Non-Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00037","10","?."
"G234905","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell morphology and organelle mutants","PS00108","15","?."
"G235050","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","2","?."
"G234414","Non-Essential","Transcription factors","Nuclear pore complex (NPC)","Auxotrophies, carbon and","PS00687","7","?."
"G234905","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","15","?."
"G234612","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00038","10","?."
"G235576","Non-Essential","GTP-binding proteins","Translocon","Conditional phenotypes","PS00599","4","?."
"G234698","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Stress response defects","PS00720","12","?."
"G234485","Non-Essential","Protein Kinases","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00107","8","?."
"G235503","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017","9","?."
"G237406","Essential","ATPases","Proteasome","Cell cycle defects","PS00225","4","?."
"G240407","Non-Essential","Ubiquitin-system proteins","Cytoskeleton","Stress response defects","PS00191","13","?."
"G234701","Non-Essential","ATPases","Intracellular transport complexes","Conditional phenotypes","PS00871","12","?."
"G234515","Non-Essential","Transcription factors","Cytoskeleton","Cell morphology and organelle mutants","PS01132","8","?."
"G235097","Non-Essential","GTP-binding proteins","Nem1p-Spo7p complex","Cell morphology and organelle mutants","PS00017","1","?."
"G235376","Non-Essential","Motorproteins","Translation complexes","Conditional phenotypes","PS01199","7","?."
"G235268","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell cycle defects","PS00183","4","?."
"G235818","Non-Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00294","15","?."
"G234701","Non-Essential","ATPases","Intracellular transport complexes","Conditional phenotypes","PS00871","12","?."
"G234974","Essential","ATPases","Proteasome","Cell cycle defects","PS00854","15","?."
"G234847","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00108","14","?."
"G235882","Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00017","16","?."
"G234847","Non-Essential","Polymerases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell morphology and organelle mutants","PS00108","14","?."
"G240296","Essential","ATPases","RNA processing complexes","Carbohydrate and lipid biosynthesis defects","PS00379","5","?."
"G235110","Non-Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00218","2","?."
"G235770","Non-Essential","Polymerases","Gim complexes","Cell morphology and organelle mutants","PS00028","14","?."
"G235783","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","14","?."
"G234905","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Conditional phenotypes","PS00387","15","?."
"G234086","Non-Essential","Proteases","Proteases, mitochondrial","Cell morphology and organelle mutants","PS01046","2","?."
"G235220","Essential","Molecular chaperones","Intracellular transport complexes","Cell morphology and organelle mutants","PS00678","4","?."
"G237670","Essential","GTP-binding proteins","RNA processing complexes","Conditional phenotypes","PS00017","2","?."
"G234773","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","13","?."
"G234798","Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","13","?."
"G235112","Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00599","15","?."
"G239517","Non-Essential","GTP-binding proteins","Gim complexes","Conditional phenotypes","PS00294","14","?."
"G234791","Non-Essential","GTP-binding proteins","RNA processing complexes","Conditional phenotypes","PS00017","13","?."
"G235160","Essential","Other kinases","Replication complexes","Cell morphology and organelle mutants","PS00951","2","?."
"G235276","Non-Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Auxotrophies, carbon and","PS00154","4","?."
"G234394","Essential","Actins","Cytoskeleton","Cell morphology and organelle mutants","PS00432","6","?."
"G235493","Essential","Molecular chaperones","Exocyst complex","Cell morphology and organelle mutants","PS00017","9","?."
"G234794","Non-Essential","Proteases","Proteases, mitochondrial","Stress response defects","PS00501","13","?."
"G234847","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell morphology and organelle mutants","PS00108","14","?."
"G237043","Non-Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00387","15","?."
"G235547","Non-Essential","Transcription factors","Cytoskeleton","Cell morphology and organelle mutants","PS00038","10","?."
"G234573","Essential","ATPases","Translocon","Conditional phenotypes","PS00017","10","?."
"G235547","Non-Essential","Cyclins","Cytoskeleton","Conditional phenotypes","PS00017","10","?."
"G234314","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00107","4","?."
"G234728","Ambiguous-Essential","Ubiquitin-system proteins","Translation complexes","Stress response defects","PS00190","12","?."
"G234231","Non-Essential","Molecular chaperones","Translocon","Conditional phenotypes","PS00297","4","?."
"G235337","Essential","ATPases","RNA processing complexes","Mating and sporulation defects","PS00017","5","?."
"G235305","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00463","5","?."
"G235488","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Stress response defects","PS00678","9","?."
"G235576","Non-Essential","GTP-binding proteins","Translocon","Conditional phenotypes","PS00599","4","?."
"G235794","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00036","14","?."
"G234365","Essential","Ubiquitin-system proteins","Mitochondrial translocase complex","Cell morphology and organelle mutants","PS01159","5","?."
"G234216","Essential","ATPases","Proteasome","Cell cycle defects","PS00854","4","?."
"G234389","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Sensitivity to aminoacid analogs and other drugs","PS00036","6","?."
"G234612","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00038","10","?."
"G234175","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00735","3","?."
"G235050","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","2","?."
"G234419","Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00434","7","?."
"G236279","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00867","7","?."
"G234373","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","5","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Stress response defects","PS00017","16","?."
"G239835","Non-Essential","Ubiquitin-system proteins","Translocon","Stress response defects","PS00028","4","?."
"G234515","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell cycle defects","PS00028","8","?."
"G234905","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Auxotrophies, carbon and","PS00108","15","?."
"G237656","Non-Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00037","15","?."
"G235356","Essential","Polymerases","Translocon","Conditional phenotypes","PS00017","7","?."
"G234490","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00028","8","?."
"G234249","Non-Essential","Ubiquitin-system proteins","Proteasome","Cell cycle defects","PS00972","4","?."
"G234249","Non-Essential","Ubiquitin-system proteins","Proteasome","Cell cycle defects","PS00973","4","?."
"G234365","Essential","Ubiquitin-system proteins","RNA processing complexes","Conditional phenotypes","PS01159","5","?."
"G235770","Non-Essential","Cyclins","Gim complexes","Mating and sporulation defects","PS00294","14","?."
"G234728","Ambiguous-Essential","Ubiquitin-system proteins","Translation complexes","Stress response defects","PS00299","12","?."
"G235795","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Cell cycle defects","PS00017","14","?."
"G234711","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00343","12","?."
"G234794","Non-Essential","Proteases","Proteases, mitochondrial","Stress response defects","PS00501","13","?."
"G234339","Non-Essential","ATPases","Proteases, mitochondrial","Auxotrophies, carbon and","PS00017","5","?."
"G234385","Non-Essential","Molecular chaperones","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00636","6","?."
"G234739","Essential","ATPases","Translation complexes","Cell morphology and organelle mutants","PS00211","12","?."
"G239343","Non-Essential","Major facilitator superfamily proteins (MFS)","Translation complexes","Conditional phenotypes","PS00218","2","?."
"G234671","Essential","Other kinases","Anaphase promoting complex (APC)","Cell morphology and organelle mutants","PS00952","11","?."
"G234394","Essential","Actins","Cytoskeleton","Conditional phenotypes","PS00432","6","?."
